gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group B,some college,standard,completed,62,66,68
male,group E,some high school,free/reduced,completed,78,83,80
female,group C,associate's degree,standard,none,91,95,94
female,group C,high school,free/reduced,none,36,53,43
female,group E,some college,standard,none,100,92,97
female,group C,some college,standard,none,84,87,91
female,group A,master's degree,free/reduced,none,50,67,73
female,group B,some high school,standard,completed,32,51,44
female,group B,some high school,standard,none,82,82,80
female,group B,associate's degree,standard,completed,61,86,87
female,group E,high school,free/reduced,none,41,45,40
female,group D,some college,standard,none,80,90,89
male,group C,bachelor's degree,standard,none,86,83,86
male,group C,master's degree,standard,completed,91,85,85
female,group B,some high school,free/reduced,none,18,32,28
female,group A,some college,standard,none,56,58,64
female,group B,master's degree,free/reduced,completed,52,70,62
female,group A,high school,free/reduced,completed,34,48,41
male,group B,master's degree,free/reduced,none,49,53,52
male,group D,some college,standard,completed,100,97,99
male,group C,associate's degree,free/reduced,completed,78,81,82
male,group B,some high school,standard,completed,65,66,62
female,group B,associate's degree,free/reduced,completed,68,77,80
female,group C,master's degree,standard,completed,69,84,85
male,group C,some college,free/reduced,none,74,77,73
female,group C,bachelor's degree,standard,completed,96,100,100
male,group D,some high school,standard,none,86,80,75
female,group C,associate's degree,standard,none,53,62,53
male,group C,master's degree,free/reduced,none,79,81,71
female,group B,some college,free/reduced,completed,53,66,73
female,group B,some high school,standard,none,62,64,66
male,group C,associate's degree,free/reduced,completed,43,45,50
female,group B,associate's degree,free/reduced,none,52,76,70
female,group D,some high school,standard,completed,65,78,82
female,group D,high school,free/reduced,none,73,92,84
male,group A,some high school,free/reduced,none,55,46,43
male,group C,high school,standard,none,81,66,64
male,group C,some college,standard,none,69,64,68
female,group D,bachelor's degree,free/reduced,none,73,79,84
female,group B,high school,free/reduced,none,64,73,71
male,group D,high school,standard,none,70,70,70
male,group C,some college,free/reduced,none,80,64,66
male,group B,high school,standard,none,70,65,60
male,group A,some high school,standard,none,71,62,50
female,group C,high school,standard,none,72,80,75
male,group C,associate's degree,standard,none,97,93,91
male,group A,some high school,free/reduced,completed,61,62,61
female,group D,some college,free/reduced,completed,67,86,83
male,group C,associate's degree,standard,completed,82,75,77
female,group C,some college,free/reduced,completed,63,73,71
female,group D,high school,free/reduced,none,39,52,46
male,group C,high school,standard,none,50,48,42
male,group E,some high school,standard,none,30,26,22
male,group C,some high school,free/reduced,completed,51,56,53
female,group B,associate's degree,free/reduced,none,53,70,70
female,group C,associate's degree,free/reduced,completed,82,93,93
female,group C,some high school,free/reduced,completed,71,84,87
male,group D,associate's degree,standard,none,61,48,46
male,group A,some college,free/reduced,none,28,23,19
male,group C,high school,standard,none,52,53,49
male,group D,high school,standard,none,89,87,79
male,group B,associate's degree,standard,completed,82,84,78
female,group B,high school,standard,none,65,64,62
male,group E,high school,free/reduced,completed,86,81,75
female,group C,bachelor's degree,free/reduced,none,43,62,61
female,group B,master's degree,standard,none,90,95,93
male,group C,high school,standard,completed,75,69,68
female,group C,some college,standard,completed,70,89,88
male,group D,some high school,standard,completed,62,66,68
female,group C,associate's degree,standard,none,91,86,84
female,group A,high school,standard,completed,75,82,79
male,group B,associate's degree,standard,completed,65,65,63
female,group C,master's degree,standard,completed,54,64,67
female,group C,some high school,free/reduced,completed,50,60,60
female,group C,associate's degree,free/reduced,none,65,77,74
female,group B,associate's degree,standard,none,58,63,65
male,group E,some college,standard,none,68,72,65
female,group A,associate's degree,standard,none,82,93,93
male,group C,some high school,free/reduced,completed,45,52,49
male,group D,associate's degree,standard,none,52,55,49
male,group B,some high school,standard,completed,84,83,75
female,group C,high school,standard,none,59,72,68
female,group D,bachelor's degree,standard,completed,68,75,81
female,group C,some high school,standard,completed,70,82,76
male,group A,associate's degree,standard,none,54,53,47
female,group C,associate's degree,free/reduced,none,64,73,68
male,group B,some college,standard,completed,71,75,70
female,group D,bachelor's degree,free/reduced,none,78,90,93
female,group D,bachelor's degree,standard,none,89,100,100
male,group D,some college,free/reduced,none,61,47,56
male,group C,high school,free/reduced,none,27,34,36
male,group B,associate's degree,free/reduced,completed,69,70,63
female,group D,bachelor's degree,free/reduced,none,63,73,78
female,group E,associate's degree,standard,completed,95,89,92
male,group D,some college,free/reduced,none,49,57,46
female,group C,associate's degree,standard,none,54,61,58
female,group C,bachelor's degree,standard,none,81,88,90
female,group C,high school,standard,none,75,88,85
female,group E,some high school,free/reduced,none,72,79,77
female,group C,associate's degree,standard,none,40,59,51
male,group B,associate's degree,free/reduced,completed,82,78,74
male,group A,high school,free/reduced,none,45,47,49
female,group B,associate's degree,standard,completed,94,87,92
female,group D,some high school,standard,completed,97,100,100
male,group E,high school,free/reduced,none,55,56,51
female,group C,some college,standard,none,58,67,72
male,group B,some high school,standard,completed,63,67,67
male,group E,associate's degree,standard,completed,62,61,58
female,group D,associate's degree,free/reduced,none,52,59,56
female,group D,some high school,standard,completed,64,60,74
male,group D,some high school,standard,completed,77,68,69
male,group B,some college,standard,none,47,43,41
female,group D,associate's degree,standard,none,65,69,70
female,group E,high school,standard,none,50,50,47
male,group D,high school,free/reduced,none,44,51,48
female,group B,bachelor's degree,standard,none,61,72,70
male,group D,high school,free/reduced,none,42,39,34
male,group A,bachelor's degree,standard,none,91,96,92
male,group D,some college,standard,completed,58,59,58
female,group E,bachelor's degree,standard,none,100,100,100
female,group E,high school,free/reduced,completed,66,74,78
male,group A,high school,standard,none,63,63,62
female,group D,master's degree,standard,none,92,100,100
male,group B,associate's degree,free/reduced,completed,58,57,53
female,group B,some college,free/reduced,none,45,53,55
male,group B,high school,standard,none,62,55,54
female,group D,master's degree,standard,none,78,91,96
male,group E,bachelor's degree,free/reduced,completed,79,74,72
female,group C,master's degree,standard,completed,81,91,87
male,group C,associate's degree,free/reduced,completed,65,73,68
female,group D,high school,free/reduced,none,49,57,52
male,group A,associate's degree,standard,none,67,57,53
female,group D,associate's degree,standard,none,77,77,73
male,group E,high school,standard,none,73,64,57
female,group C,some college,free/reduced,completed,45,73,70
male,group C,associate's degree,standard,none,85,76,71
female,group B,associate's degree,standard,none,57,69,68
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group A,some college,free/reduced,completed,81,78,81
female,group C,associate's degree,standard,none,64,64,70
female,group B,high school,standard,none,81,91,89
male,group B,high school,standard,completed,73,71,68
female,group B,some high school,free/reduced,completed,52,67,72
female,group C,some high school,free/reduced,none,48,58,52
female,group E,master's degree,free/reduced,none,45,56,54
female,group D,some college,free/reduced,completed,52,59,65
male,group A,master's degree,free/reduced,none,73,74,72
female,group B,some college,free/reduced,none,61,68,66
female,group E,high school,free/reduced,completed,57,75,73
male,group C,high school,free/reduced,none,66,66,59
male,group A,associate's degree,standard,completed,97,92,86
female,group D,associate's degree,free/reduced,completed,77,89,98
female,group C,some college,standard,none,69,78,76
male,group C,master's degree,free/reduced,completed,79,77,75
female,group C,bachelor's degree,free/reduced,completed,51,72,79
female,group E,master's degree,standard,completed,94,99,100
female,group C,associate's degree,standard,none,65,76,76
male,group B,bachelor's degree,free/reduced,none,62,63,56
male,group A,high school,standard,none,71,74,64
male,group D,bachelor's degree,free/reduced,completed,74,79,75
female,group B,some college,free/reduced,none,74,81,76
male,group B,high school,standard,none,82,82,80
female,group C,associate's degree,standard,completed,83,85,90
male,group B,some high school,standard,none,88,84,75
female,group C,some college,standard,completed,63,78,80
male,group C,high school,standard,completed,86,81,80
female,group C,some college,standard,none,55,69,65
female,group C,high school,free/reduced,none,66,76,68
male,group C,associate's degree,standard,none,74,73,67
male,group E,high school,free/reduced,completed,57,56,54
male,group B,some college,standard,none,79,67,67
female,group D,high school,standard,none,45,63,59
male,group D,some high school,standard,none,86,73,70
female,group D,some high school,standard,none,73,86,82
male,group A,some college,free/reduced,completed,50,47,54
female,group E,some college,free/reduced,none,71,76,70
male,group C,some college,standard,none,59,41,42
male,group C,some college,standard,completed,98,86,90
female,group D,some college,standard,completed,82,97,96
female,group A,some high school,free/reduced,none,38,43,43
male,group C,some high school,standard,none,49,49,41
male,group D,some college,standard,none,67,64,70
male,group B,high school,standard,completed,72,65,68
male,group D,some college,standard,none,68,59,62
female,group D,some high school,standard,none,59,67,61
female,group A,associate's degree,standard,completed,65,70,74
female,group C,master's degree,standard,none,73,78,74
male,group B,some high school,free/reduced,completed,49,50,52
male,group C,high school,standard,completed,82,84,82
female,group C,some high school,free/reduced,none,65,86,80
male,group C,high school,standard,none,61,56,55
female,group D,some high school,free/reduced,completed,40,65,64
female,group C,some high school,free/reduced,completed,65,76,75
female,group C,master's degree,free/reduced,completed,65,81,81
female,group B,some high school,free/reduced,none,72,81,79
female,group E,bachelor's degree,standard,none,80,83,83
male,group D,master's degree,standard,none,80,80,72
male,group E,some high school,free/reduced,completed,73,67,59
female,group B,bachelor's degree,free/reduced,none,77,85,87
male,group B,some college,free/reduced,completed,74,77,76
